,drink_name,category,instructions,picture,taste,ingredients1,quantity1,ingredients2,quantity2,ingredients3,quantity3,ingredients4,quantity4,ingredients5,quantity5,ingredients6,quantity6,ingredients7,quantity7,ingredients8,quantity8,ingredients9,quantity9,ingredients10,quantity10,ingredients11,quantity11,ingredients12,quantity12
43,A.Nise,,Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,,,pink pigeon rum,1.5 oz,luxardo amaretto di saschira,.5 oz,osha falernum,.5 oz,lemon juice,.5 oz,pineapple juice,1 oz,orange bitters,3 dash,,,,,,,,,,,,
44,A1,"cocktail, shot","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,,gin,1 3/4 shot,grand marnier,1 shot,lemon juice,1/4 shot,grenadine,1/8 shot,,,,,,,,,,,,,,,,
45,Abano Sour,,Shake ingredients with ice then strain into a sour cocktail glass previously rimmed with cardamom sugar.,,,luxardo amaro abano,1.5 oz,fresh lemon juice,1 oz,agave nectar,.25 oz,grapefruit bitters,1 dash,egg white,.5 oz,,,,,,,,,,,,,,
46,Abbey Cocktail,"ordinary drink, cocktail",Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,,gin,1 1/2 oz,orange bitters,1 dash,orange,juice of 1/4,cherry,1,,,,,,,,,,,,,,,,
47,Abbey Martini,"cocktail, ordinary drink","Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,sweet,gin,2 shots,sweet vermouth,1 shot,orange juice,1 shot,angostura bitters,3 dashes,,,,,,,,,,,,,,,,
48,ABC,"shot, shot",Layered in a shot glass.,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,,amaretto,3-jan,bailey's irish cream,3-jan,cognac,3-jan,,,,,,,,,,,,,,,,,,
49,Abilene,"ordinary drink, other,unknown",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,,dark rum,1 1/2 oz,peach nectar,2 oz,orange juice,3 oz,,,,,,,,,,,,,,,,,,
50,Above My Pay Grade,,Stir and strain.,,,semper fi white whiskey,1.5 oz,chateau de montifaud pineau des charentes rose,.75 oz,tempus fugit gran classico bitter,.75 oz,house-made citrus bitters,3 dash,,,,,,,,,,,,,,,,
51,Abrazo Latino,,Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.,,,chinaco reposado tequila,1.5 oz,luxardo amaro abano,.75 oz,luxardo triplum (triple sec),.75 oz,,,,,,,,,,,,,,,,,,
52,Absinthe #2,homemade liqueur,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,,vodka,1 bottle,sugar,50 gr,anise,50 ml pure,licorice root,1 tblsp,wormwood,1,,,,,,,,,,,,,,
53,Absolut Evergreen,"other,unknown, shot","Mix, pour over ice and top up with Bitter Lemon.",http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,,absolut citron,2/3 part,pisang ambon,1/3 part,ice,cubes,bitter lemon,,,,,,,,,,,,,,,,,
54,Absolut limousine,"other,unknown, ordinary drink",Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,sweet,absolut citron,3-feb,lime juice,3-jan,ice,fill with,tonic water,top it up with,,,,,,,,,,,,,,,,
55,Absolut Sex,"shot, ordinary drink","Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,sweet,absolut kurant,3/4 oz,midori melon liqueur,3/4 oz,cranberry juice,1 oz,sprite,1 splash,,,,,,,,,,,,,,,,
56,Absolut Stress #2,"ordinary drink, cocktail",Mix well. Garnish with Orange and Cherry. Enjoy,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,,absolut vodka,1 1/2 oz,peach schnapps,1/2 oz,coconut liqueur,1/2 oz,cranberry juice,1 1/2 oz,pineapple juice,1 1/2 oz,,,,,,,,,,,,,,
